pauta,link,data,editoria,freq_edi
COBERTURA ANIVERSÁRIO TN/ LANÇAMENTO DA CAMPANHA PUBLICITÁRIA,https://trello.com/c/NocUSfja,2024-04-01T17:44:52.679Z,Natal,1515
SINDICATOS INSATISFEITOS COM O GOVERNO,https://trello.com/c/6awyHCXN,2024-03-27T17:37:15.289Z,Natal,1515
SINDICATOS INSATISFEITOS COM O GOVERNO,https://trello.com/c/6awyHCXN,2024-03-27T17:37:15.289Z,Domingo,487
ESPECIAL - DESENVOLVEDORES DE GAMERS - IMD E SEBRAE,https://trello.com/c/JYcSZz55,2024-03-29T20:18:01.951Z,Domingo,487
ESPECIAL - DESENVOLVEDORES DE GAMERS - IMD E SEBRAE,https://trello.com/c/JYcSZz55,2024-03-29T20:18:01.951Z,Economia,704
SIGNIFICADO PÁSCOA DIVERSAS RELIGIÕES,https://trello.com/c/C16X8hoU,2024-03-29T20:17:49.945Z,Domingo,487
SIGNIFICADO PÁSCOA DIVERSAS RELIGIÕES,https://trello.com/c/C16X8hoU,2024-03-29T20:17:49.945Z,Natal,1515
DOIS MESES INVASÃO MLB,https://trello.com/c/Fq8SyLIg,2024-03-27T21:32:37.477Z,Dia,1955
DOIS MESES INVASÃO MLB,https://trello.com/c/Fq8SyLIg,2024-03-27T21:32:37.477Z,Natal,1515
KIMURA - 10h30 - FOTO RENAN BARÃO,https://trello.com/c/g4hh90lv,2024-03-21T18:01:44.723Z,Domingo,487
KIMURA - 10h30 - FOTO RENAN BARÃO,https://trello.com/c/g4hh90lv,2024-03-21T18:01:44.723Z,Esportes,12
FUTURE-SE,https://trello.com/c/t7dXytZu,2024-03-26T00:40:45.888Z,Dia,1955
FUTURE-SE,https://trello.com/c/t7dXytZu,2024-03-26T00:40:45.888Z,Natal,1515
MST - ABRIL VERMELHO,https://trello.com/c/xjIsW3Or,2024-03-20T21:20:03.428Z,Dia,1955
MST - ABRIL VERMELHO,https://trello.com/c/xjIsW3Or,2024-03-20T21:20:03.428Z,Natal,1515
FESTIVAL DO INDUSTRIÁRIO - ENTREVISTA ÀS 14H30 COM ROBERTO SERQUIZ,https://trello.com/c/IF1WSskD,2024-03-20T21:20:09.915Z,Dia,1955
FESTIVAL DO INDUSTRIÁRIO - ENTREVISTA ÀS 14H30 COM ROBERTO SERQUIZ,https://trello.com/c/IF1WSskD,2024-03-20T21:20:09.915Z,Economia,704
ATUALIZAÇÃO INVASÃO MLB,https://trello.com/c/bHYsHUbS,2024-03-20T21:21:19.828Z,Dia,1955
ATUALIZAÇÃO INVASÃO MLB,https://trello.com/c/bHYsHUbS,2024-03-20T21:21:19.828Z,Natal,1515
SURTO DE ROTAVÍRUS - UPAS E UBS,https://trello.com/c/trh6y0iv,2024-03-20T21:19:58.423Z,Dia,1955
SURTO DE ROTAVÍRUS - UPAS E UBS,https://trello.com/c/trh6y0iv,2024-03-20T21:19:58.423Z,Natal,1515
HISTÓRICO DAS TRÊS EMPRESAS QUE CONCORREM À LICITAÇÃO DA ENGORDA DE PONTA NEGRA,https://trello.com/c/0fyYhBmj,2024-03-22T14:15:40.413Z,Dia,1955
HISTÓRICO DAS TRÊS EMPRESAS QUE CONCORREM À LICITAÇÃO DA ENGORDA DE PONTA NEGRA,https://trello.com/c/0fyYhBmj,2024-03-22T14:15:40.413Z,Economia,704
LANÇAMENTO HUB DO AGRO NEGÓCIO - ELI AGRO,https://trello.com/c/EdIKDI6m,2024-03-22T14:15:49.598Z,Dia,1955
LANÇAMENTO HUB DO AGRO NEGÓCIO - ELI AGRO,https://trello.com/c/EdIKDI6m,2024-03-22T14:15:49.598Z,Economia,704
LANÇAMENTO BYD CARRO ELÉTRICO,https://trello.com/c/r1XTJGNx,2024-03-22T14:15:45.167Z,Economia,704
LANÇAMENTO BYD CARRO ELÉTRICO,https://trello.com/c/r1XTJGNx,2024-03-22T14:15:45.167Z,Dia,1955
ALTA DE VÁRIOS ALIMENTOS,https://trello.com/c/anjNichT,2024-03-18T21:21:01.702Z,Economia,704
ALTA DE VÁRIOS ALIMENTOS,https://trello.com/c/anjNichT,2024-03-18T21:21:01.702Z,Dia,1955
AMBULANTES DA REDINHA À ESPERA DO MERCADO,https://trello.com/c/fOeA82p5,2024-03-21T18:01:42.202Z,Dia,1955
AMBULANTES DA REDINHA À ESPERA DO MERCADO,https://trello.com/c/fOeA82p5,2024-03-21T18:01:42.202Z,Natal,1515
MARIA ALICE FERNANDES - CASA DE APOIO,https://trello.com/c/2uvexqXh,2024-03-19T21:12:53.732Z,Dia,1955
